draw_idx,C1,C2,C3,C4,C5,C_MLP_BASE,C_TRANS_BASE,C_TRANS_MIX,C_TRANS_MEM
1483,0.13284570424015263,-0.09714068776230289,0.21585702218469738,0.09114024752023853,0.11063800278631297,0.3069972697049359,0.39980064663957576,0.003195508543952008,-0.10775232114780808
1484,0.2909116100849659,0.1854607877757819,0.22044511223085483,-0.3108139197819474,-0.34715402998571754,-0.09036880755109256,0.6055212158191388,0.22430717625364438,-0.3926536095263561
1485,-0.2048279557094801,-0.4317572374776353,0.5837693686492628,0.03106982046551443,0.03343008804929304,0.6148391891147772,0.6856674836682652,0.34532168635778693,-0.21234293334048382
1486,0.07034760006266216,-0.11055095539939641,0.5705452418570616,-0.09533161798923118,0.0320593722122795,0.4752136238678304,0.8351335691155046,0.3335545909855767,-0.45019255064655495
1487,-0.16931014939813105,-0.19134955961642497,0.2976560554094849,-0.10136837787200936,-0.10187875902402688,0.19628767753747556,0.5947816868350302,0.3078252956200299,-0.19665323367803555
1488,0.09001106827932404,-0.020253404615143467,-0.11987057457137129,-0.13163625678920332,-0.2888387923843516,-0.2515068313605746,0.34927413328078283,-0.07128817799727605,-0.4269231235966475
1489,-0.7001453855260308,-0.6891377386915097,-0.515509671447662,0.17482756806087407,-0.17660598523891335,-0.34068210338678795,0.2911514117434026,0.19906313337631787,0.16037937879100617
1490,0.9190236500058846,0.7301974788866922,1.0749788790572767,-0.2155031157403604,-0.08097566758525176,0.8594757633169163,0.8464464928678544,0.2668529053742382,-0.740956261114215
1491,0.13528861217921995,0.11769836823271018,0.320371385919208,-0.4152434485656752,-0.2160323889791339,-0.09487206264646719,0.43092476531367957,0.11224333317024371,-0.3092330441793594
1492,0.042352093216070585,0.012142794645886856,0.4037089353420557,-0.18576607174788318,-0.08792772656038939,0.21794286359417253,0.5342302845151535,0.23134590895722082,-0.3696444259312694
1493,-0.40341980102003533,-0.41971626435633297,-0.18650643066325573,0.008159488372169399,-0.16932701016218793,-0.17834694229108633,0.4073761012816759,0.18660705424266882,-0.053785341738459114
1494,0.5679413507961457,0.46295680001433576,0.6518716924329475,-0.18467295211256274,-0.10271491541873412,0.4671987403203848,0.34415277982812637,0.18264465842270522,-0.3712422322922961
1495,-0.22445348153835099,-0.41560629688681217,-0.33342433673471694,0.3920086710740429,0.15592200083925323,0.05858433433932597,0.19605263820046237,-0.09727078638719067,0.018511779060444766
1496,0.38331067542127206,0.42175401407729196,0.6855195661447018,-0.3081616466139915,-0.12822615111354368,0.37735791953071035,0.2812003731116135,0.058439863196450614,-0.3762477049554444
1497,0.4567401481942509,0.37332722838377896,-0.014324747076884359,-0.07125962755263426,-0.10106520318767531,-0.08558437462951862,0.24852920397681189,-0.11040188200319268,-0.2738588663780208
1498,0.37486757503647383,0.34767755816060086,0.34091626621744303,-0.36689577964416237,-0.1275951506573067,-0.025979513426719336,0.2934865600426747,0.1761609507979568,-0.35189533576786564
1499,0.05321835607126002,0.08003402246664071,0.5040880321814307,-0.3333345666046311,-0.045372941457506255,0.17075346557679955,1.0235191215740516,0.4559541707312877,-0.6488553071165377
1500,0.5490742605583704,0.5631806761813258,0.8414804907709901,-0.1714654052909359,0.11182394298035703,0.6700150854800542,0.430603258135271,0.07454319833376088,-0.34811223049925166
1501,0.12868615153874108,-0.014832715173831668,-0.10517762719572932,0.01315569411261941,-0.1770060967771082,-0.09202193308310991,0.07465220471822809,-0.10388547089352995,-0.10567410015611145
1502,-0.19597936298817364,-0.24993895739175476,-0.10389443901686268,-0.14571604164929075,-0.34351487563232397,-0.24961048066615343,0.5401626527210422,0.33767876377664285,-0.2414297271612219
1503,0.5068546300543193,0.626233198518774,0.7516125424528594,-0.03343778783793594,0.08753740346373151,0.7181747546149234,0.6908632295110448,0.24203455409011954,-0.43732991308243385
1504,0.23375289774259578,0.07589036346475986,-0.22364515367633664,0.2250688648463468,0.2269731260371648,0.0014237111700101668,0.17750375523393425,-0.12773443327159972,-0.08845667737178564
1505,-0.2958536473931117,-0.39012699436117426,-0.32127421762179753,0.15427936403613995,-0.10734481441189625,-0.16699485358565758,0.24372919147234862,0.015864970669478673,-0.015464657578519558
1506,-0.17639555369241333,-0.23911456561073652,0.23961452130206196,-0.0481082852139646,0.03959081324914515,0.19150623608809736,0.2336734202176447,-0.03179992062195203,-0.25750415001759985
1507,0.30947426284479074,0.16492733760679656,0.4882788295123367,-0.4545178629738793,-0.26685552305950944,0.03376096653845739,0.6216842512815726,0.35230994791149917,-0.45719335499697145
1508,-0.8033407424621202,-0.9573043202081422,-0.10753397626134209,-0.05280234816409246,-0.2536284483739981,-0.16033632442543455,0.8135638169475042,0.6078364948472953,0.15544956216855987
1509,0.6775286905337674,0.599451661445032,0.6092234574713709,-0.2344443299020792,-0.05078729027887263,0.3747791275692917,0.506816628532829,0.2090053456525776,-0.36064371310056464
1510,0.4160382056194616,0.29327883387937725,0.5156836265521176,-0.3580560788813838,-0.00140741875213779,0.15762754767073384,0.5501969193729669,0.15604470884611965,-0.42417742707495676
1511,0.8013656355326833,0.6907029750679629,1.0936553183323732,-0.14215688061938492,-0.20834382414452035,0.9514984377129883,0.5300551235938564,-0.08637139491982215,-0.514214534993928
1512,0.4985424460889968,0.3350896790116485,0.009727073629723915,-0.04795992574298469,-0.14509696779006676,-0.038232852113260773,0.42219308209776574,0.03242131055363018,-0.1743678990661801
1513,0.15456192269722502,-0.003505240273612209,0.5520023013218183,-0.12093781089060762,-0.13810286326563892,0.43106449043121065,1.2364007189951662,0.7655116377887182,-0.4506717414930098
1514,1.2083253301242,1.1764914088676215,0.9691158456501592,-0.4713578911696093,-0.1348219966392757,0.4977579544805498,0.770470795245233,0.2831095716599147,-0.6277480493466999
1515,0.23687561445648758,0.19820486113389696,-0.001179958207506604,-0.1611817280330411,-0.11305865722674613,-0.1623616862405477,0.07660685865118727,-0.1184483429620502,-0.07331269455191303
1516,0.2315457016968132,0.06694730573308882,0.450685448982502,-0.1008752733951841,0.050672513610032,0.3498101755873179,0.2750366204752272,0.06503803479667936,-0.3660927558721484
1517,0.241359433561104,0.19635796555914986,0.4809982186011166,-0.31113472260220343,-0.32908022373039714,0.16986349599891315,0.842766052713891,0.5916495950470916,-0.11720627734500977
1518,0.0404152165499263,-0.17700639510071503,0.17858550544212815,0.155153167135762,0.020946155176736703,0.33373867257789014,0.515150555951009,0.14910962380430826,-0.11022085215030342
1519,0.3477059606434181,0.35475115267001067,0.2948383780241325,-0.0648884888439738,-0.029301247636400518,0.22994988918015868,0.57999234263306,0.2188287035365779,-0.3146434638839829
1520,-0.30053108467944123,-0.23456525633170078,-0.002875188912058624,-0.031350491125684,-0.10729446833159861,-0.03422568003774262,0.765422609108679,0.3393680881646287,-0.1182023149974134
1521,0.4832738063162999,0.3540827626398586,0.6242586738512701,-0.004980121166130891,0.1518122110637159,0.6192785526851392,0.5677612842893146,0.16181587244279827,-0.20604356046721217
1522,1.23556350918834,1.1580490312428446,0.7952873361257883,-0.5221576556271115,-0.09340463553283596,0.2731296804986768,0.39373118680036984,-0.03458816301753698,-0.6256605185554134
1523,0.6012461091862272,0.47225772857848725,0.3025200370102623,0.012225719662798618,0.06352801011520648,0.31474575667306093,0.7275676035597166,0.24443762965944038,-0.24189414159497735
1524,0.12571631564160646,0.02992747202657553,0.45533664102240357,-0.08593022196579136,0.11910423436150941,0.3694064190566122,0.29779147067499667,0.031585273141186865,-0.21415458063549353
1525,-0.3307346317897798,-0.4285213887612195,-0.3820210100485958,0.06390740428116404,-0.2825573306356145,-0.31811360576743175,0.6969459245545273,0.33501441139287036,0.082959054331048
1526,0.13028742706602614,-0.020963318145058807,0.1946509572570243,-0.013746331436804038,-0.36294222126877984,0.18090462582022027,0.8048016725399132,0.24731506892842003,-0.12326919074936549
1527,0.18458271870859438,0.02709261263878726,0.29443970329663716,-0.16914236961685966,-0.06479288383733453,0.12529733367977747,-0.06177577549278862,-0.181072073631401,-0.026405070857590307
1528,-0.5830283580523294,-0.6603123711600587,-0.6794231052555839,0.14153194162512506,-0.16873743998550572,-0.5378911636304589,0.23810402251522478,-0.054965079825834984,0.14830977321579675
1529,0.5779822141912426,0.4940306306304784,0.25789564047115987,-0.2590730357158588,-0.24323984617461636,-0.0011773952446989533,0.38313219274744637,0.18063144463814346,-0.3495063661577391
1530,0.3872814356159049,0.3089455171625668,0.5900147696574551,0.010938274214854715,0.0010888857336406321,0.6009530438723099,0.867092704852049,0.3177258042419868,-0.22196759948985578
1531,0.7406469678580261,0.6573053936005803,0.7834248946117669,-0.39001924426285495,-0.2118259150275419,0.39340565034891195,0.8295669615679029,0.4210152168922193,-0.3708057665553486
1532,-0.14383281255923286,-0.23000210533947907,-0.35660145841745505,-0.08851092834730967,-0.2766206830675767,-0.4451123867647647,0.4926393952552027,0.30805105653198794,-0.2259118993900222
1533,-0.03717687744117737,-0.07430250180111586,-0.20642629128752588,0.18934719698579228,0.11678665766843777,-0.0170790943017336,0.2982175656316707,0.01743461566467852,-0.14678459710047442
1534,0.23382218846995773,0.23574991807387657,0.5641788004362686,-0.19144671282002812,0.02791500119910073,0.37273208761624044,0.11180087472304906,-0.09692838436871676,-0.43070392407096475
1535,0.19935219083978262,0.08257582471308667,-0.039037719964169826,-0.053026418855238955,-0.06607558516255785,-0.09206413881940878,0.11520454638212746,-0.0914271078243234,-0.31015088723665163
1536,0.34371450581708085,0.2231206982169811,0.30800497312566066,-0.47125632217883096,-0.2996296436757656,-0.1632513490531703,0.42217047252577167,0.13644941993008097,-0.4200867689198645
1537,0.10235464597238719,-0.02098774267480863,0.2998972404519261,-0.11528921785467006,-0.19612236516139236,0.18460802259725606,0.12682236347004539,-0.1347284981621527,-0.08978044416121678
1538,0.32319572086550985,0.3539226501046575,0.3838997620508102,-0.05853834186310203,-0.0011701772192234117,0.3253614201877082,0.6566454081687166,0.3519216010169368,-0.18611099084053917
1539,0.7185499371483006,0.5806899259532234,0.9415299752225084,-0.556936064146276,-0.32763256581635525,0.3845939110762323,0.9137120501867925,0.4905731097832518,-0.6533807861216099
1540,0.052474175573926196,-0.13905110201526827,-0.29088999165887475,0.23835098481726624,0.06031230185809888,-0.052539006841608504,0.42539620766693953,0.12062036386507269,0.1916023492441672
1541,0.27882444002283274,0.20081776112851277,0.7723077207641049,-0.2985670241547791,0.16477876619986834,0.4737406966093259,0.2345730883858881,-0.029042283159373086,-0.39208047114241124
1542,-0.5367201901432456,-0.6583527375864248,-0.6267623137555912,-0.20920244119632547,-0.2944253648937295,-0.8359647549519167,0.41936904371062766,0.21502194007625264,-0.28689299039885907
1543,0.33942802592492904,0.24277745952750618,0.4463462549907298,-0.44142573488154746,-0.3544307105846455,0.004920520109182314,0.8144070518640465,0.6373879590896185,-0.30082064399711805
1544,0.06141170240835381,0.00044907652599279757,0.5347796179836241,-0.36064410540533043,-0.2957565815586731,0.17413551257829363,0.9000380459748988,0.4903549586575541,-0.4936344848920279
1545,-0.24838678291314809,-0.2672380045312577,0.29163057986636454,0.07652029833682894,-0.03006478114215705,0.3681508782031935,0.6280121141855947,0.1916431885862402,-0.1723575991799342
1546,-0.5602676574181704,-0.6459062842137351,-0.6234234877305025,0.3251006878635814,0.10951482903234355,-0.2983227998669211,0.17262318270559696,-0.15056092103675944,0.013142532189801659
1547,-0.2592214247597264,-0.3651973208114503,0.5506954084324933,-0.1715076746138493,-0.19427382970462626,0.379187733818644,0.8720490586996466,0.41765394132641676,-0.2777402138191325
1548,-0.4465394997681207,-0.477246095125051,-0.32698741175552404,0.028419154060604468,-0.19265506416405387,-0.29856825769491957,0.7919361980857254,0.35527542116234034,-0.08860784684724621
1549,0.2795756091292356,0.05224841745168263,0.10709288453824484,0.10866177326729232,0.14930417295519294,0.21575465780553715,0.500932549560475,0.1835743898258011,-0.19421137759855145
1550,0.19349467976389523,0.12205942629338451,0.00412629125463404,-0.052867824914711425,-0.13466276854812687,-0.048741533660077385,0.32565926306235243,-0.028073452415526057,-0.20094942099092983
1551,1.2833556768104524,1.2374276999806466,1.2688840851814929,-0.5428150726303032,-0.015764414154427975,0.7260690125511899,0.8941771628817606,0.38821788616174446,-0.8060513980618128
1552,0.4974932577488669,0.3870015266622584,0.4126216156154152,-0.1493157485030916,-0.12124414347852097,0.2633058671123236,0.3905745660121407,0.05836429586422498,-0.2726311029736759
1553,-0.5726299232134818,-0.6476524518285179,-0.26841437578337646,-0.06128762629119566,-0.33426555192770446,-0.3297020020745721,0.5660109722804589,0.23378476811497384,0.02381344791369866
1554,0.12004068189540384,-0.005106970427649293,0.275455526444902,-0.2614294213782293,-0.1217514554617189,0.014026105066672734,0.6491206584562206,0.29873850819158865,-0.24497031076569908
1555,0.30440602612019985,0.13891083773157298,-0.05003092837410361,-0.040854513788432634,-0.03194047065867922,-0.09088544216253625,0.14549388852990774,0.06771732951149712,0.029116571632959998
1556,-0.3467595000195338,-0.4545202213289411,-0.7441913155283056,0.1040650830735651,-0.2161307685658751,-0.6401262324547405,0.051744097262010236,-0.08769167662895849,0.18392638840702125
