arm,market,n_realizations,sharpe_ratio,annualized_return,max_drawdown,win_rate
MLP_MIX_SELECTED,Brazil,3,0.5322219040540402,0.07515451781349299,-0.12158861862523813,0.50066401062417
MLP_MIX_SELECTED,China,3,1.251362101542741,0.3437624375031574,-0.13497881246019744,0.5082644628099173
MLP_MIX_SELECTED,France,3,0.09604473880480753,0.0032964938981374647,-0.14660820198381538,0.5260416666666666
MLP_MIX_SELECTED,India,3,0.9105403481873076,0.12735196332219956,-0.13373192874995818,0.5284552845528455
MLP_MIX_SELECTED,UK,3,1.3287210044268962,0.2057658158603748,-0.0851720782716155,0.5091863517060368
MLP_MIX_SELECTED,US,3,1.3425556867321244,0.23917661346758426,-0.10538614937071254,0.5608465608465608
TRANS_BASE,Brazil,3,-1.1914767537970405,-0.26076066702370826,-0.27072838384881254,0.45949535192563085
TRANS_BASE,China,3,0.7066978802869467,0.16440922195062643,-0.17270321521957233,0.4834710743801653
TRANS_BASE,France,3,0.07767326674162484,-0.012017578674453447,-0.263556098652114,0.5091145833333334
TRANS_BASE,India,3,0.9385076267968945,0.13731692752184207,-0.09261959329583551,0.5582655826558266
TRANS_BASE,UK,3,-0.6876320997245825,-0.15045457537333093,-0.1875540550192065,0.4540682414698163
TRANS_BASE,US,3,1.8074608597274615,0.34423489079983954,-0.12106081261263767,0.5542328042328043
TRANS_GATE,Brazil,3,0.097953216703334,0.004666573972676484,-0.1678176734484741,0.49269588313413015
TRANS_GATE,China,3,1.0450774542822578,0.26487202372663604,-0.15041536225752697,0.49449035812672176
TRANS_GATE,France,3,-0.1084423461844608,-0.025658053989366342,-0.16433591814751322,0.5104166666666666
TRANS_GATE,India,3,0.7122731841452782,0.10638577414704135,-0.130699513023572,0.5487804878048781
TRANS_GATE,UK,3,0.6341909345595528,0.09522586016870489,-0.1628595325859031,0.5183727034120734
TRANS_GATE,US,3,1.7354837802510417,0.27935540759806415,-0.10590138015381258,0.5661375661375662
TRANS_MIX_SELECTED,Brazil,3,-0.2854031786844129,-0.08343491748887566,-0.21233882301294024,0.48339973439575035
TRANS_MIX_SELECTED,China,3,1.2241566056760131,0.3222999924644707,-0.15740835244335646,0.5013774104683195
TRANS_MIX_SELECTED,France,3,0.31245108586853626,0.05049544889817992,-0.21317737219216673,0.51171875
TRANS_MIX_SELECTED,India,3,1.0085610638873614,0.1510632865895817,-0.12020713879056173,0.548780487804878
TRANS_MIX_SELECTED,UK,3,-0.5503570136557048,-0.11369703052281503,-0.16662502947483146,0.4776902887139108
TRANS_MIX_SELECTED,US,3,1.6107707236922308,0.28838081138046356,-0.11874387155761228,0.5555555555555556
