date,market,arm,system_id,seed,equity,return,calendar_week,run_id
2024-11-04,Brazil,Transformer_BASE,Transformer_BASE,17,92097.3282787447,0.06323730969498695,2024-11-04,Transformer_BASE_Brazil_17
2024-11-05,Brazil,Transformer_BASE,Transformer_BASE,17,92780.79726907062,0.007421159800177035,2024-11-04,Transformer_BASE_Brazil_17
2024-11-06,Brazil,Transformer_BASE,Transformer_BASE,17,92220.21634599018,-0.006041992950919807,2024-11-04,Transformer_BASE_Brazil_17
2024-11-07,Brazil,Transformer_BASE,Transformer_BASE,17,89329.62973328876,-0.031344392013314785,2024-11-04,Transformer_BASE_Brazil_17
2024-11-08,Brazil,Transformer_BASE,Transformer_BASE,17,88381.16769715595,-0.010617552529486948,2024-11-04,Transformer_BASE_Brazil_17
2024-11-11,Brazil,Transformer_BASE,Transformer_BASE,17,88288.25579186725,-0.0010512636086351022,2024-11-11,Transformer_BASE_Brazil_17
2024-11-12,Brazil,Transformer_BASE,Transformer_BASE,17,88145.15918293095,-0.0016207887181919828,2024-11-11,Transformer_BASE_Brazil_17
2024-11-13,Brazil,Transformer_BASE,Transformer_BASE,17,88945.12385883427,0.009075537253760285,2024-11-11,Transformer_BASE_Brazil_17
2024-11-14,Brazil,Transformer_BASE,Transformer_BASE,17,87909.47361698246,-0.011643698911426532,2024-11-11,Transformer_BASE_Brazil_17
2024-11-18,Brazil,Transformer_BASE,Transformer_BASE,17,88960.59461155033,0.011956856881518332,2024-11-18,Transformer_BASE_Brazil_17
2024-11-19,Brazil,Transformer_BASE,Transformer_BASE,17,89839.49826946354,0.009879696305436949,2024-11-18,Transformer_BASE_Brazil_17
2024-11-21,Brazil,Transformer_BASE,Transformer_BASE,17,87975.73948612309,-0.02074542733698621,2024-11-18,Transformer_BASE_Brazil_17
2024-11-22,Brazil,Transformer_BASE,Transformer_BASE,17,89873.13161983585,0.02156722006311814,2024-11-18,Transformer_BASE_Brazil_17
2024-11-25,Brazil,Transformer_BASE,Transformer_BASE,17,91046.33897533512,0.01305403889186754,2024-11-25,Transformer_BASE_Brazil_17
2024-11-26,Brazil,Transformer_BASE,Transformer_BASE,17,94010.21364536381,0.03255347445471272,2024-11-25,Transformer_BASE_Brazil_17
2024-11-27,Brazil,Transformer_BASE,Transformer_BASE,17,89404.0295652399,-0.048996634530582825,2024-11-25,Transformer_BASE_Brazil_17
2024-11-28,Brazil,Transformer_BASE,Transformer_BASE,17,85914.92687740421,-0.039026235224550204,2024-11-25,Transformer_BASE_Brazil_17
2024-11-29,Brazil,Transformer_BASE,Transformer_BASE,17,85531.8425706873,-0.004458879506043912,2024-11-25,Transformer_BASE_Brazil_17
2024-12-02,Brazil,Transformer_BASE,Transformer_BASE,17,85228.59460010624,-0.003545439469872722,2024-12-02,Transformer_BASE_Brazil_17
2024-12-03,Brazil,Transformer_BASE,Transformer_BASE,17,85413.036973382,0.0021640902814502932,2024-12-02,Transformer_BASE_Brazil_17
2024-12-04,Brazil,Transformer_BASE,Transformer_BASE,17,86478.6382574091,0.012475862254601509,2024-12-02,Transformer_BASE_Brazil_17
2024-12-05,Brazil,Transformer_BASE,Transformer_BASE,17,87195.00330486393,0.008283722568832877,2024-12-02,Transformer_BASE_Brazil_17
2024-12-06,Brazil,Transformer_BASE,Transformer_BASE,17,83925.10158100224,-0.037501021846733415,2024-12-02,Transformer_BASE_Brazil_17
2024-12-09,Brazil,Transformer_BASE,Transformer_BASE,17,83585.40291482353,-0.0040476408104295316,2024-12-09,Transformer_BASE_Brazil_17
2024-12-10,Brazil,Transformer_BASE,Transformer_BASE,17,85341.01249581718,0.021003781997470064,2024-12-09,Transformer_BASE_Brazil_17
2024-12-11,Brazil,Transformer_BASE,Transformer_BASE,17,88035.02742892646,0.03156764671899487,2024-12-09,Transformer_BASE_Brazil_17
2024-12-12,Brazil,Transformer_BASE,Transformer_BASE,17,84186.44525844001,-0.043716487435566886,2024-12-09,Transformer_BASE_Brazil_17
2024-12-13,Brazil,Transformer_BASE,Transformer_BASE,17,81947.74952346229,-0.026592116202379792,2024-12-09,Transformer_BASE_Brazil_17
2024-12-16,Brazil,Transformer_BASE,Transformer_BASE,17,79541.45498114967,-0.029363766013167706,2024-12-16,Transformer_BASE_Brazil_17
2024-12-17,Brazil,Transformer_BASE,Transformer_BASE,17,78650.18218038083,-0.011205135749403409,2024-12-16,Transformer_BASE_Brazil_17
2024-12-18,Brazil,Transformer_BASE,Transformer_BASE,17,73862.0564589262,-0.06087876199031884,2024-12-16,Transformer_BASE_Brazil_17
2024-12-19,Brazil,Transformer_BASE,Transformer_BASE,17,76530.81781704618,0.03613169584039452,2024-12-16,Transformer_BASE_Brazil_17
2024-12-20,Brazil,Transformer_BASE,Transformer_BASE,17,78403.21068651868,0.024465867775627693,2024-12-16,Transformer_BASE_Brazil_17
2024-12-23,Brazil,Transformer_BASE,Transformer_BASE,17,75215.1694939871,-0.0406621254999161,2024-12-23,Transformer_BASE_Brazil_17
2024-12-26,Brazil,Transformer_BASE,Transformer_BASE,17,73149.56646521283,-0.027462585575099865,2024-12-23,Transformer_BASE_Brazil_17
2024-12-27,Brazil,Transformer_BASE,Transformer_BASE,17,72874.73435385419,-0.0037571256350417653,2024-12-23,Transformer_BASE_Brazil_17
2024-12-30,Brazil,Transformer_BASE,Transformer_BASE,17,72315.22603781415,-0.007677672117791368,2024-12-30,Transformer_BASE_Brazil_17
2024-01-02,Brazil,Transformer_BASE,Transformer_BASE,37,100000.0,0.0,2024-01-01,Transformer_BASE_Brazil_37
2024-01-03,Brazil,Transformer_BASE,Transformer_BASE,37,100643.10831367302,0.006431083136730158,2024-01-01,Transformer_BASE_Brazil_37
2024-01-04,Brazil,Transformer_BASE,Transformer_BASE,37,99149.18538963127,-0.014843767736044665,2024-01-01,Transformer_BASE_Brazil_37
2024-01-05,Brazil,Transformer_BASE,Transformer_BASE,37,99593.32329093742,0.004479491178478194,2024-01-01,Transformer_BASE_Brazil_37
2024-01-08,Brazil,Transformer_BASE,Transformer_BASE,37,99730.34343063163,0.001375796440630294,2024-01-08,Transformer_BASE_Brazil_37
2024-01-09,Brazil,Transformer_BASE,Transformer_BASE,37,99243.07347404289,-0.004885874647846473,2024-01-08,Transformer_BASE_Brazil_37
2024-01-10,Brazil,Transformer_BASE,Transformer_BASE,37,98685.51022064018,-0.0056181578611482754,2024-01-08,Transformer_BASE_Brazil_37
2024-01-11,Brazil,Transformer_BASE,Transformer_BASE,37,99175.40217887687,0.004964173130801049,2024-01-08,Transformer_BASE_Brazil_37
2024-01-12,Brazil,Transformer_BASE,Transformer_BASE,37,99584.17546760368,0.004121720504742962,2024-01-08,Transformer_BASE_Brazil_37
2024-01-15,Brazil,Transformer_BASE,Transformer_BASE,37,99522.85412132072,-0.0006157740021948346,2024-01-15,Transformer_BASE_Brazil_37
2024-01-16,Brazil,Transformer_BASE,Transformer_BASE,37,98250.6031752758,-0.012783505429758051,2024-01-15,Transformer_BASE_Brazil_37
2024-01-17,Brazil,Transformer_BASE,Transformer_BASE,37,97651.22498428154,-0.006100503932021588,2024-01-15,Transformer_BASE_Brazil_37
2024-01-18,Brazil,Transformer_BASE,Transformer_BASE,37,96005.10513793754,-0.016857134629995295,2024-01-15,Transformer_BASE_Brazil_37
2024-01-19,Brazil,Transformer_BASE,Transformer_BASE,37,95885.89344703483,-0.0012417224139427776,2024-01-15,Transformer_BASE_Brazil_37
2024-01-22,Brazil,Transformer_BASE,Transformer_BASE,37,94716.97827827263,-0.012190689649337094,2024-01-22,Transformer_BASE_Brazil_37
2024-01-23,Brazil,Transformer_BASE,Transformer_BASE,37,96172.99731170463,0.015372312967526402,2024-01-22,Transformer_BASE_Brazil_37
2024-01-24,Brazil,Transformer_BASE,Transformer_BASE,37,96220.71701156425,0.0004961860521509551,2024-01-22,Transformer_BASE_Brazil_37
2024-01-25,Brazil,Transformer_BASE,Transformer_BASE,37,97187.12495910453,0.010043657723150575,2024-01-22,Transformer_BASE_Brazil_37
2024-01-26,Brazil,Transformer_BASE,Transformer_BASE,37,97416.48953544426,0.002360030471487208,2024-01-22,Transformer_BASE_Brazil_37
2024-01-29,Brazil,Transformer_BASE,Transformer_BASE,37,98312.69740974235,0.009199755386094232,2024-01-29,Transformer_BASE_Brazil_37
2024-01-30,Brazil,Transformer_BASE,Transformer_BASE,37,97471.42212020683,-0.008557137701443597,2024-01-29,Transformer_BASE_Brazil_37
