run_id,arm,market,seed,realization_type,sharpe_ratio,annualized_return,max_drawdown,win_rate,final_equity
HIST_PRIOR_China_fixed,HIST_PRIOR,China,fixed,deterministic,0.7620662364873662,0.1481365135928087,-0.1653173919363926,0.4628099173553719,114185.99305307388
HIST_PRIOR_France_fixed,HIST_PRIOR,France,fixed,deterministic,0.4440007301382431,0.0520899973286506,-0.0832420963708712,0.51953125,105293.83347176554
HIST_PRIOR_India_fixed,HIST_PRIOR,India,fixed,deterministic,2.171703670762984,0.3696360681707205,-0.0805830568985274,0.5447154471544715,135941.69475183103
HIST_PRIOR_UK_fixed,HIST_PRIOR,UK,fixed,deterministic,0.5020634689140608,0.142569445163001,-0.3318037322130263,0.547244094488189,114377.86657640456
HIST_PRIOR_US_fixed,HIST_PRIOR,US,fixed,deterministic,1.1525862987311923,0.1353663245893832,-0.1031332434754041,0.5674603174603174,113536.63245893858
MEM_RANDOM_Brazil_1001,MEM_RANDOM,Brazil,1001,retrieval_seed,-0.5129626221635134,-0.0803885866167951,-0.1273176879170878,0.4820717131474104,91991.7286398201
MEM_RANDOM_Brazil_1002,MEM_RANDOM,Brazil,1002,retrieval_seed,-0.010855922708021,-0.0132375327671941,-0.1336314890312155,0.5139442231075697,98681.4649276962
MEM_RANDOM_Brazil_1003,MEM_RANDOM,Brazil,1003,retrieval_seed,0.209161873069363,0.0196432750928448,-0.1688908341147521,0.5139442231075697,101956.45679988668
MEM_RANDOM_China_1001,MEM_RANDOM,China,1001,retrieval_seed,-0.0140002673225735,-0.0225452140846922,-0.1959823200095529,0.4504132231404958,97833.96758626746
MEM_RANDOM_China_1002,MEM_RANDOM,China,1002,retrieval_seed,0.8464671756523697,0.1719491340680259,-0.1525527660501471,0.4628099173553719,116459.33014052392
MEM_RANDOM_China_1003,MEM_RANDOM,China,1003,retrieval_seed,0.7017987396052312,0.1357028708715046,-0.1653173919363926,0.4586776859504132,112998.23995454406
MEM_RANDOM_France_1001,MEM_RANDOM,France,1001,retrieval_seed,0.4675974908133532,0.0553144328924839,-0.0858070396508861,0.53125,105621.66727037625
MEM_RANDOM_France_1002,MEM_RANDOM,France,1002,retrieval_seed,0.4440007301382431,0.0520899973286506,-0.0832420963708712,0.51953125,105293.83347176554
MEM_RANDOM_France_1003,MEM_RANDOM,France,1003,retrieval_seed,0.4440007301382431,0.0520899973286506,-0.0832420963708712,0.51953125,105293.83347176554
MEM_RANDOM_India_1001,MEM_RANDOM,India,1001,retrieval_seed,2.0431958062301803,0.3392362508947775,-0.0805830568985274,0.5487804878048781,132995.45114147948
